bus,Pg,Qg,Qmax,Qmin,Vsp,mBase,status,Pmax,Pmin,minDownTimeHr,minUpTimeHr,RampRateMWMin,StartTimeColdHr,StartTimeWarmHr,StartTimeHotHr,StartHeatColdMBTU,StartHeatWarmMBTU,StartHeatHotMBTU,NonFuelStartCost$,NonFuelShutdownCost$,FOR,MTTF_Hr,MTTR_Hr,ScheduledMaintWeeks,FuelPrice$/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,Output_pct_4,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4,VOM,FuelSulfurContent%,EmissionsSO2 Lbs/MMBTU,EmissionsNOXLbs/MMBTU,EmissionsPartLbs/MMBTU,EmissionsCO2 Lbs/MMBTU,EmissionsCH4Lbs/MMBTU,EmissionsN2OLbs/MMBTU,EmissionsCOLbs/MMBTU,EmissionsVOCsLbs/MMBTU,DampingRatio,InertiaMJ/MW,BaseMVA,TransformerXp.u.,UnitXp.u.,PumpLoadMW,StorageRoundtripEfficiency,GEN_UID,Gen_ID,UnitGroup,UnitType,Category,Fuel
101,8.0,4.96,10,0,1.0468,100,1,20.0,8,1.0,1.0,3.0,1,0.0,0.0,5.0,5.0,5.0,0,0,0.1,450,50,2.0,10.3494,0.4,0.6,0.8,1,NA,13114,9456,9476,10352,NA,0,0.2,0.2,0.5,0.036,160,0.002,0.004,0.11,0.04,0,2.8,24,0.13,0.32,0,0,101_CT_1,1,U20,CT,Oil CT,Oil
101,8.0,4.96,10,0,1.0468,100,1,20.0,8,1.0,1.0,3.0,1,0.0,0.0,5.0,5.0,5.0,0,0,0.1,450,50,2.0,10.3494,0.4,0.6,0.8,1,NA,13114,9456,9476,10352,NA,0,0.2,0.2,0.5,0.036,160,0.002,0.004,0.11,0.04,0,2.8,24,0.13,0.32,0,0,101_CT_2,2,U20,CT,Oil CT,Oil
101,76.0,0.14,30,-25,1.0468,100,1,76.0,30,4.0,8.0,2.0,12,10.0,3.0,5284.8,4861.4,3379.4,0,0,0.02,1960,40,3.0,2.11399,0.394736842,0.596491228,0.798245614,1,NA,13270,6713,8028,8549,NA,0,Unit-specific,Unit-specific,Unit-specific,Unit-specific,210,0.001,0.004,0.02,0.003,0,3.0,89,0.13,0.3,0,0,101_STEAM_3,3,U76,STEAM,Coal,Coal
101,76.0,0.14,30,-25,1.0468,100,1,76.0,30,4.0,8.0,2.0,12,10.0,3.0,5284.8,4861.4,3379.4,0,0,0.02,1960,40,3.0,2.11399,0.394736842,0.596491228,0.798245614,1,NA,13270,6713,8028,8549,NA,0,Unit-specific,Unit-specific,Unit-specific,Unit-specific,210,0.001,0.004,0.02,0.003,0,3.0,89,0.13,0.3,0,0,101_STEAM_4,4,U76,STEAM,Coal,Coal
102,8.0,4.88,10,0,1.0467,100,1,20.0,8,1.0,1.0,3.0,1,0.0,0.0,5.0,5.0,5.0,0,0,0.1,450,50,2.0,10.3494,0.4,0.6,0.8,1,NA,14639,8597,9147,9622,NA,0,0.2,0.2,0.5,0.036,160,0.002,0.004,0.11,0.04,0,2.8,24,0.13,0.32,0,0,102_CT_1,1,U20,CT,Oil CT,Oil
102,8.0,4.88,10,0,1.0467,100,1,20.0,8,1.0,1.0,3.0,1,0.0,0.0,5.0,5.0,5.0,0,0,0.1,450,50,2.0,10.3494,0.4,0.6,0.8,1,NA,14639,8597,9147,9622,NA,0,0.2,0.2,0.5,0.036,160,0.002,0.004,0.11,0.04,0,2.8,24,0.13,0.32,0,0,102_CT_2,2,U20,CT,Oil CT,Oil
102,76.0,-2.31,30,-25,1.0467,100,1,76.0,30,4.0,8.0,2.0,12,10.0,3.0,5284.8,4861.4,3379.4,0,0,0.02,1960,40,3.0,2.11399,0.394736842,0.596491228,0.798245614,1,NA,11591,8734,9861,10651,NA,0,Unit-specific,Unit-specific,Unit-specific,Unit-specific,210,0.001,0.004,0.02,0.003,0,3.0,89,0.13,0.3,0,0,102_STEAM_3,3,U76,STEAM,Coal,Coal
102,76.0,-2.31,30,-25,1.0467,100,1,76.0,30,4.0,8.0,2.0,12,10.0,3.0,5284.8,4861.4,3379.4,0,0,0.02,1960,40,3.0,2.11399,0.394736842,0.596491228,0.798245614,1,NA,11591,8734,9861,10651,NA,0,Unit-specific,Unit-specific,Unit-specific,Unit-specific,210,0.001,0.004,0.02,0.003,0,3.0,89,0.13,0.3,0,0,102_STEAM_4,4,U76,STEAM,Coal,Coal
107,355.0,49.51,150,-25,1.05,100,1,355.0,170,4.5,8.0,4.14,2,1.0,0.5,7215.1,4536.1,3196.6,0,0,0.033,967,33,1.07,3.88722,0.478873239,0.65258216,0.82629108,1,NA,7222,5970,6892,7854,NA,0,0,0.0006,0.079999998,0,118,0.0,0.0,0.0,0.0,0,5.0,414,0.13,0.3,0,0,107_CC_1,1,U355,CC,Gas CC,NG
113,55.0,19.0,19,-15,1.0347,100,1,55.0,22,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,13125,6899,7602,7797,NA,0,0,0.0006,0.079999998,0,118,0.0,0.0,0.0,0.0,0,2.8,64,0.13,0.32,0,0,113_CT_1,1,U55,CT,Gas CT,NG
